AIAdoptionLevel;AutomationRisk;CompanySize;IndustryID;IndustryName;JobGrowthProjection;JobRole;Location;RemoteFriendly;RequiredSkill_ID;RequiredSkillName;SalaryUSD
Medium;High;Small;3;Entertainment;Stable;Operations Manager;San Francisco;Yes;5;Machine Learning;112988,468720025
Low;High;Small;9;Telecommunications;Stable;Cybersecurity Analyst;Dubai;Yes;7;Project Management;101462,641053849
High;High;Small;9;Telecommunications;Stable;Software Engineer;New York;Yes;8;Python;103457,724326349
Medium;Medium;Medium;8;Technology;Growth;Marketing Specialist;Sydney;Yes;5;Machine Learning;86711,671190772
Medium;Low;Small;1;Education;Decline;Operations Manager;Dubai;Yes;10;UX/UI Design;97443,373629442
Low;Low;Small;10;Transportation;Growth;Software Engineer;London;Yes;10;UX/UI Design;78250,043700565
Low;Low;Medium;2;Energy;Decline;UX Designer;Dubai;Yes;4;JavaScript;83131,778008241
Medium;Medium;Small;9;Telecommunications;Stable;Operations Manager;New York;No;7;Project Management;129293,900959378
Low;Medium;Large;3;Entertainment;Decline;UX Designer;Singapore;No;8;Python;73836,128298992
Medium;Medium;Large;5;Healthcare;Growth;Sales Manager;Singapore;No;3;Data Analysis;93086,342532726
High;Medium;Small;9;Telecommunications;Growth;Software Engineer;Tokyo;No;2;Cybersecurity;92269,380734310
Low;Medium;Medium;5;Healthcare;Stable;Marketing Specialist;Paris;Yes;8;Python;83784,910564384
Medium;Low;Large;6;Manufacturing;Decline;Cybersecurity Analyst;Berlin;No;2;Cybersecurity;100288,018731408
High;Medium;Medium;6;Manufacturing;Stable;AI Researcher;Sydney;No;6;Marketing;101794,441854827
High;Medium;Medium;1;Education;Stable;HR Manager;Toronto;Yes;2;Cybersecurity;71483,616337048
Medium;Low;Large;4;Finance;Growth;Data Scientist;Tokyo;No;9;Sales;92027,134230931
Low;Medium;Medium;2;Energy;Decline;Marketing Specialist;Paris;No;10;UX/UI Design;68352,653224553
Medium;Low;Large;8;Technology;Decline;Software Engineer;Singapore;Yes;7;Project Management;105770,972366346
High;Low;Medium;1;Education;Decline;AI Researcher;London;Yes;1;Communication;93529,746207253
Medium;High;Large;7;Retail;Decline;Marketing Specialist;Toronto;Yes;4;JavaScript;91646,597734342
Low;High;Small;8;Technology;Stable;Software Engineer;Paris;No;9;Sales;103180,626977448
High;High;Large;10;Transportation;Stable;Product Manager;Paris;No;2;Cybersecurity;84489,794190632
Medium;High;Large;3;Entertainment;Growth;Product Manager;Tokyo;Yes;5;Machine Learning;108280,439184364
Low;Medium;Large;7;Retail;Stable;UX Designer;Toronto;Yes;7;Project Management;71031,102544877
High;High;Large;7;Retail;Stable;Marketing Specialist;San Francisco;No;9;Sales;118237,530377890
Low;Low;Medium;1;Education;Growth;Product Manager;Berlin;Yes;4;JavaScript;78981,776348903
High;Medium;Small;4;Finance;Growth;Software Engineer;San Francisco;No;10;UX/UI Design;56076,418646088
Medium;High;Large;1;Education;Growth;UX Designer;Toronto;Yes;7;Project Management;83429,301830745
Low;Low;Medium;10;Transportation;Stable;Software Engineer;San Francisco;Yes;4;JavaScript;81160,636054916
High;Medium;Small;9;Telecommunications;Stable;UX Designer;New York;No;6;Marketing;83278,520276999
Low;Medium;Small;9;Telecommunications;Growth;Marketing Specialist;Singapore;Yes;6;Marketing;94632,960309680
Low;High;Small;4;Finance;Growth;AI Researcher;New York;Yes;4;JavaScript;111956,847217765
Medium;Medium;Small;10;Transportation;Growth;Cybersecurity Analyst;Dubai;Yes;9;Sales;86165,881722057
Low;Low;Large;4;Finance;Stable;Operations Manager;San Francisco;No;7;Project Management;76167,648603622
High;Medium;Large;5;Healthcare;Stable;AI Researcher;Dubai;Yes;9;Sales;67469,063754324
High;Low;Medium;9;Telecommunications;Decline;Sales Manager;London;Yes;3;Data Analysis;80636,344173819
High;Medium;Medium;7;Retail;Stable;Software Engineer;Sydney;Yes;2;Cybersecurity;52243,503214993
High;High;Medium;2;Energy;Stable;Sales Manager;London;Yes;3;Data Analysis;75497,338129673
Medium;Low;Small;3;Entertainment;Stable;AI Researcher;Toronto;Yes;6;Marketing;114881,077917243
Low;Medium;Small;10;Transportation;Growth;UX Designer;Paris;Yes;10;UX/UI Design;73532,815908432
Medium;Medium;Large;8;Technology;Stable;Operations Manager;Singapore;No;8;Python;102574,317216006
Low;Medium;Small;4;Finance;Growth;Operations Manager;San Francisco;No;2;Cybersecurity;65470,358203830
Low;Low;Small;3;Entertainment;Decline;Data Scientist;Tokyo;Yes;6;Marketing;125421,917986211
Low;Low;Small;8;Technology;Decline;Operations Manager;Sydney;No;9;Sales;126752,134661294
Medium;Low;Medium;3;Entertainment;Growth;Cybersecurity Analyst;Berlin;No;9;Sales;101820,431131197
Low;High;Medium;2;Energy;Growth;Operations Manager;Berlin;Yes;9;Sales;129825,052032870
Medium;High;Large;8;Technology;Growth;AI Researcher;Berlin;No;10;UX/UI Design;97115,859498553
High;Low;Small;1;Education;Stable;Data Scientist;San Francisco;No;3;Data Analysis;105370,342282991
High;Medium;Small;6;Manufacturing;Decline;AI Researcher;Berlin;No;8;Python;115238,677534630
Low;High;Large;1;Education;Growth;AI Researcher;New York;No;9;Sales;93594,369061969
Medium;Low;Small;9;Telecommunications;Stable;HR Manager;Sydney;No;1;Communication;58952,450768299
High;Medium;Small;6;Manufacturing;Decline;Data Scientist;New York;No;2;Cybersecurity;105779,267104687
Medium;High;Medium;1;Education;Stable;AI Researcher;Paris;No;7;Project Management;80562,808111331
Medium;Medium;Large;6;Manufacturing;Decline;HR Manager;Sydney;No;1;Communication;82049,403580891
Low;Medium;Large;6;Manufacturing;Stable;HR Manager;New York;Yes;8;Python;95957,898329574
High;Medium;Large;7;Retail;Decline;Data Scientist;Sydney;Yes;10;UX/UI Design;101325,617594347
Low;Medium;Large;4;Finance;Decline;Sales Manager;Paris;No;8;Python;93002,692680124
Low;High;Medium;4;Finance;Stable;UX Designer;Dubai;No;7;Project Management;102714,590723146
High;High;Medium;7;Retail;Growth;Cybersecurity Analyst;San Francisco;Yes;2;Cybersecurity;75862,857318796
High;High;Small;3;Entertainment;Decline;UX Designer;San Francisco;No;7;Project Management;89145,924105534
Medium;Low;Small;5;Healthcare;Growth;Operations Manager;Berlin;No;4;JavaScript;106981,709009017
High;High;Small;3;Entertainment;Stable;Cybersecurity Analyst;London;Yes;2;Cybersecurity;125455,823528734
Medium;Medium;Small;8;Technology;Growth;Operations Manager;Berlin;Yes;8;Python;132528,711779464
Medium;High;Medium;8;Technology;Growth;AI Researcher;Toronto;Yes;9;Sales;98659,533654555
Medium;Medium;Large;6;Manufacturing;Growth;Software Engineer;New York;No;8;Python;106800,196534912
High;Low;Medium;1;Education;Growth;Data Scientist;Sydney;No;8;Python;129631,583296303
Low;Medium;Small;1;Education;Growth;Cybersecurity Analyst;London;Yes;2;Cybersecurity;76583,279265330
Medium;Medium;Medium;4;Finance;Decline;Cybersecurity Analyst;Paris;Yes;4;JavaScript;102593,997054251
Low;Medium;Large;10;Transportation;Decline;AI Researcher;Toronto;No;8;Python;105366,858989722
Low;Low;Large;3;Entertainment;Decline;Sales Manager;Paris;Yes;1;Communication;118957,228721534
High;High;Medium;9;Telecommunications;Stable;HR Manager;San Francisco;No;6;Marketing;67257,172389276
Low;High;Medium;2;Energy;Growth;AI Researcher;San Francisco;No;5;Machine Learning;71211,884323990
Low;Low;Medium;1;Education;Decline;Product Manager;Berlin;Yes;5;Machine Learning;90427,644222094
High;Medium;Small;2;Energy;Stable;HR Manager;New York;Yes;8;Python;97554,553246433
Medium;High;Medium;6;Manufacturing;Decline;Data Scientist;London;No;1;Communication;112457,279074676
Low;Low;Medium;2;Energy;Decline;HR Manager;Singapore;Yes;9;Sales;100350,875516245
High;High;Medium;9;Telecommunications;Growth;Sales Manager;Toronto;Yes;10;UX/UI Design;86971,735397794
Low;Low;Large;7;Retail;Stable;HR Manager;Toronto;Yes;10;UX/UI Design;98329,228895123
Low;Medium;Large;9;Telecommunications;Growth;Data Scientist;Berlin;Yes;2;Cybersecurity;96020,889525489
Medium;High;Small;2;Energy;Growth;Sales Manager;San Francisco;No;5;Machine Learning;124900,328599755
Low;Low;Small;9;Telecommunications;Decline;UX Designer;Berlin;No;8;Python;93313,178871371
High;High;Large;5;Healthcare;Growth;Cybersecurity Analyst;Sydney;No;10;UX/UI Design;82338,331728949
Low;High;Large;6;Manufacturing;Stable;Cybersecurity Analyst;London;No;8;Python;98992,180601437
Medium;High;Large;3;Entertainment;Growth;Operations Manager;New York;Yes;2;Cybersecurity;93969,706386771
Medium;High;Medium;7;Retail;Growth;UX Designer;Dubai;Yes;5;Machine Learning;58580,132886507
High;Low;Medium;1;Education;Growth;UX Designer;Tokyo;No;7;Project Management;89686,958767557
Medium;Medium;Large;8;Technology;Decline;HR Manager;Tokyo;No;6;Marketing;87985,235091880
Low;Low;Medium;3;Entertainment;Stable;Cybersecurity Analyst;Berlin;Yes;6;Marketing;79122,562684414
Medium;Low;Medium;8;Technology;Decline;Data Scientist;Sydney;No;10;UX/UI Design;110711,665752459
High;Low;Small;6;Manufacturing;Decline;Marketing Specialist;London;No;6;Marketing;74286,408067760
Medium;Medium;Large;7;Retail;Decline;Marketing Specialist;Singapore;Yes;7;Project Management;99112,372390491
Medium;High;Large;4;Finance;Decline;Sales Manager;Tokyo;No;8;Python;87042,860003125
Medium;High;Medium;1;Education;Decline;Cybersecurity Analyst;London;Yes;2;Cybersecurity;92153,900112936
High;High;Large;5;Healthcare;Stable;Cybersecurity Analyst;New York;Yes;7;Project Management;98235,725820917
Medium;Medium;Small;4;Finance;Growth;Marketing Specialist;Paris;No;2;Cybersecurity;63848,512322180
Medium;High;Small;6;Manufacturing;Decline;Cybersecurity Analyst;Sydney;Yes;2;Cybersecurity;93833,217834696
Low;Medium;Small;3;Entertainment;Decline;HR Manager;San Francisco;No;5;Machine Learning;135778,949794264
High;High;Large;5;Healthcare;Stable;Product Manager;London;Yes;8;Python;58864,733082426
Medium;High;Large;9;Telecommunications;Stable;Software Engineer;New York;No;1;Communication;88847,840725690
High;Low;Large;2;Energy;Growth;UX Designer;Singapore;No;6;Marketing;112464,786496476
Medium;Medium;Large;5;Healthcare;Stable;Operations Manager;Dubai;No;1;Communication;96032,384959072
Medium;Low;Large;6;Manufacturing;Growth;Sales Manager;San Francisco;Yes;5;Machine Learning;103759,339042320
Medium;Low;Small;10;Transportation;Decline;Product Manager;Dubai;Yes;2;Cybersecurity;42486,679778148
Low;Low;Medium;2;Energy;Decline;Marketing Specialist;Singapore;No;10;UX/UI Design;101964,987492599
Low;Medium;Small;8;Technology;Growth;UX Designer;New York;Yes;6;Marketing;74766,235875328
Low;Medium;Large;1;Education;Stable;Cybersecurity Analyst;Tokyo;No;6;Marketing;96197,545691663
High;High;Small;8;Technology;Growth;Operations Manager;Dubai;No;8;Python;89411,305381810
High;Low;Large;5;Healthcare;Stable;Cybersecurity Analyst;San Francisco;Yes;4;JavaScript;135566,660583232
Low;High;Large;8;Technology;Decline;Data Scientist;Berlin;No;3;Data Analysis;100933,906475317
High;Low;Small;6;Manufacturing;Stable;Data Scientist;Toronto;Yes;3;Data Analysis;87747,523414744
Medium;Medium;Large;9;Telecommunications;Growth;Operations Manager;London;No;3;Data Analysis;59806,144814929
Medium;Medium;Medium;3;Entertainment;Growth;Operations Manager;Tokyo;Yes;4;JavaScript;92422,938036998
Medium;Medium;Large;1;Education;Decline;Marketing Specialist;Dubai;No;8;Python;106464,577566936
Low;Low;Medium;8;Technology;Stable;Operations Manager;Paris;No;4;JavaScript;88388,962163616
High;Medium;Medium;8;Technology;Stable;HR Manager;London;Yes;3;Data Analysis;79886,872801251
Low;Low;Large;5;Healthcare;Stable;Cybersecurity Analyst;Berlin;No;5;Machine Learning;78548,266723074
High;High;Small;3;Entertainment;Decline;Product Manager;Singapore;No;7;Project Management;100702,828709106
Medium;Low;Medium;4;Finance;Stable;AI Researcher;Toronto;Yes;2;Cybersecurity;105187,758786183
Low;High;Small;8;Technology;Growth;Operations Manager;New York;No;4;JavaScript;117224,202306422
High;Low;Medium;6;Manufacturing;Stable;Sales Manager;Berlin;Yes;8;Python;70100,002135793
High;High;Large;10;Transportation;Decline;Data Scientist;Berlin;No;8;Python;100519,551168352
Medium;Medium;Large;1;Education;Stable;HR Manager;Singapore;Yes;1;Communication;87565,920911643
Low;High;Medium;8;Technology;Stable;UX Designer;Sydney;No;7;Project Management;88155,315907334
Low;Medium;Large;6;Manufacturing;Growth;AI Researcher;Singapore;No;10;UX/UI Design;98036,517080680
Low;Medium;Medium;6;Manufacturing;Stable;Product Manager;Sydney;No;6;Marketing;98153,125072499
Medium;High;Large;1;Education;Growth;AI Researcher;Sydney;Yes;3;Data Analysis;100575,362115831
Low;Low;Small;4;Finance;Growth;Operations Manager;Tokyo;Yes;10;UX/UI Design;68850,576156084
Medium;Low;Large;6;Manufacturing;Decline;Marketing Specialist;Tokyo;Yes;1;Communication;75003,771856671
Medium;Low;Small;10;Transportation;Growth;Data Scientist;San Francisco;Yes;3;Data Analysis;119717,365510353
Medium;Low;Large;6;Manufacturing;Growth;Data Scientist;Dubai;No;7;Project Management;85588,550650383
High;Low;Small;6;Manufacturing;Decline;UX Designer;Dubai;No;1;Communication;96120,287960358
Low;Medium;Large;6;Manufacturing;Growth;Marketing Specialist;New York;Yes;3;Data Analysis;111093,326240863
Low;Low;Small;9;Telecommunications;Decline;Cybersecurity Analyst;Dubai;Yes;7;Project Management;99268,861447216
Medium;Medium;Medium;9;Telecommunications;Stable;Software Engineer;Tokyo;Yes;9;Sales;100930,452619440
Medium;Medium;Medium;4;Finance;Decline;HR Manager;San Francisco;No;10;UX/UI Design;107891,553584875
Low;Medium;Small;8;Technology;Growth;Data Scientist;San Francisco;Yes;10;UX/UI Design;47666,724782060
Medium;High;Large;6;Manufacturing;Decline;Sales Manager;Sydney;Yes;6;Marketing;80200,996896789
Low;High;Small;3;Entertainment;Growth;Data Scientist;Singapore;No;7;Project Management;99372,115929992
High;Medium;Large;8;Technology;Stable;AI Researcher;New York;No;4;JavaScript;117752,886141153
Medium;High;Medium;4;Finance;Decline;Data Scientist;Sydney;Yes;9;Sales;91321,911193115
Low;Low;Large;7;Retail;Stable;Data Scientist;Singapore;No;5;Machine Learning;73105,670764878
Medium;Low;Medium;8;Technology;Growth;Software Engineer;Dubai;Yes;3;Data Analysis;73638,279007790
Low;Medium;Large;8;Technology;Growth;Software Engineer;Sydney;No;9;Sales;107677,224069061
Low;Low;Large;2;Energy;Stable;Product Manager;London;Yes;7;Project Management;85644,528352162
Medium;Medium;Large;5;Healthcare;Decline;Cybersecurity Analyst;Dubai;Yes;2;Cybersecurity;89855,999084193
High;Medium;Small;2;Energy;Decline;Sales Manager;Singapore;Yes;3;Data Analysis;102300,603875446
Low;Low;Small;10;Transportation;Growth;Data Scientist;New York;Yes;8;Python;31969,526346128
Low;High;Medium;9;Telecommunications;Stable;Data Scientist;Singapore;No;10;UX/UI Design;130007,350230161
Low;Low;Medium;9;Telecommunications;Stable;HR Manager;Sydney;No;7;Project Management;75378,523298979
High;Low;Small;5;Healthcare;Decline;Software Engineer;Sydney;No;8;Python;94838,727389471
High;Medium;Medium;1;Education;Decline;Sales Manager;Berlin;No;6;Marketing;55906,059730075
Medium;Medium;Small;1;Education;Decline;UX Designer;New York;Yes;1;Communication;81549,177791899
High;Medium;Large;4;Finance;Stable;Product Manager;Paris;Yes;5;Machine Learning;114893,760927301
Medium;Medium;Medium;5;Healthcare;Decline;Cybersecurity Analyst;Dubai;No;5;Machine Learning;51676,656406682
Medium;High;Medium;8;Technology;Decline;Marketing Specialist;San Francisco;No;8;Python;112524,001743782
High;High;Small;1;Education;Growth;Cybersecurity Analyst;New York;No;10;UX/UI Design;84526,078075352
Medium;High;Medium;6;Manufacturing;Decline;AI Researcher;San Francisco;No;6;Marketing;99743,288804404
High;Medium;Medium;3;Entertainment;Decline;Data Scientist;New York;No;2;Cybersecurity;103150,488269702
Medium;Medium;Large;8;Technology;Stable;Product Manager;New York;Yes;10;UX/UI Design;98828,429989819
High;Medium;Medium;10;Transportation;Stable;AI Researcher;Singapore;Yes;9;Sales;72700,986967383
High;High;Large;6;Manufacturing;Growth;Sales Manager;New York;Yes;5;Machine Learning;82709,017069300
Medium;Medium;Small;6;Manufacturing;Decline;Marketing Specialist;Berlin;No;9;Sales;60768,876454984
Low;Low;Medium;5;Healthcare;Growth;Software Engineer;Paris;No;3;Data Analysis;99835,926631762
Medium;Low;Large;4;Finance;Stable;Product Manager;Sydney;No;4;JavaScript;124041,103080318
High;Medium;Small;10;Transportation;Growth;Product Manager;Toronto;No;7;Project Management;53511,182266471
Low;Low;Medium;1;Education;Stable;Data Scientist;San Francisco;Yes;6;Marketing;74767,081877239
Medium;Low;Small;5;Healthcare;Growth;Operations Manager;Sydney;Yes;10;UX/UI Design;86364,494482341
Medium;High;Medium;1;Education;Growth;Product Manager;Toronto;No;5;Machine Learning;93466,828474271
Medium;Medium;Small;5;Healthcare;Decline;HR Manager;Paris;Yes;9;Sales;107583,526028688
Low;Medium;Small;5;Healthcare;Growth;Marketing Specialist;Paris;Yes;1;Communication;86956,000392847
High;High;Large;5;Healthcare;Decline;Marketing Specialist;San Francisco;No;3;Data Analysis;83680,825471087
Medium;Low;Small;4;Finance;Decline;HR Manager;San Francisco;No;7;Project Management;112062,614121394
Medium;Low;Medium;5;Healthcare;Decline;UX Designer;Paris;No;7;Project Management;103239,911341266
Medium;Medium;Medium;7;Retail;Decline;HR Manager;Toronto;No;10;UX/UI Design;100779,559514021
Medium;Low;Large;3;Entertainment;Growth;HR Manager;New York;No;6;Marketing;92250,314231762
Medium;High;Medium;1;Education;Stable;Marketing Specialist;Dubai;No;2;Cybersecurity;109663,044218397
High;High;Medium;8;Technology;Stable;Cybersecurity Analyst;London;Yes;1;Communication;76873,812175395
High;Medium;Medium;2;Energy;Stable;Marketing Specialist;Sydney;Yes;10;UX/UI Design;74146,114356278
Medium;High;Small;10;Transportation;Growth;Operations Manager;Singapore;No;9;Sales;104922,019737386
Low;High;Small;9;Telecommunications;Decline;Data Scientist;Sydney;Yes;4;JavaScript;57499,280615062
High;Medium;Medium;4;Finance;Stable;AI Researcher;Singapore;No;8;Python;91843,590192730
Low;High;Large;8;Technology;Growth;Cybersecurity Analyst;Toronto;No;2;Cybersecurity;83668,832954750
High;High;Small;6;Manufacturing;Decline;Software Engineer;Singapore;No;6;Marketing;61884,905386941
Medium;High;Large;7;Retail;Stable;AI Researcher;San Francisco;No;3;Data Analysis;71374,648405675
High;Low;Medium;9;Telecommunications;Decline;Data Scientist;Dubai;Yes;2;Cybersecurity;87820,478154093
Medium;Medium;Medium;2;Energy;Stable;Operations Manager;Dubai;No;5;Machine Learning;110679,265129980
High;Medium;Small;8;Technology;Stable;Operations Manager;San Francisco;Yes;6;Marketing;76940,840174844
Medium;Medium;Medium;9;Telecommunications;Stable;Software Engineer;Berlin;No;4;JavaScript;114267,627998099
Medium;Low;Small;8;Technology;Decline;Cybersecurity Analyst;Toronto;No;5;Machine Learning;91263,584551130
Medium;Low;Medium;7;Retail;Growth;UX Designer;Berlin;No;2;Cybersecurity;116207,694043399
Medium;Medium;Medium;2;Energy;Decline;HR Manager;Berlin;Yes;8;Python;77910,167824399
Low;Low;Small;6;Manufacturing;Stable;Cybersecurity Analyst;Sydney;No;8;Python;89023,808237893
Medium;Medium;Small;5;Healthcare;Decline;UX Designer;Paris;No;4;JavaScript;97369,672066740
Low;Low;Small;1;Education;Growth;Operations Manager;Sydney;No;7;Project Management;86409,790745170
Low;High;Medium;6;Manufacturing;Decline;Marketing Specialist;Paris;Yes;1;Communication;109060,482942904
Medium;High;Medium;5;Healthcare;Growth;Data Scientist;London;Yes;3;Data Analysis;45848,725494195
Low;Medium;Large;4;Finance;Growth;Software Engineer;Singapore;Yes;7;Project Management;138448,110775798
High;Low;Small;3;Entertainment;Decline;Data Scientist;Paris;No;8;Python;107155,492139903
Medium;Low;Medium;10;Transportation;Stable;Sales Manager;San Francisco;Yes;8;Python;86529,363419300
Low;High;Medium;10;Transportation;Growth;Sales Manager;Sydney;No;9;Sales;78953,566528453
Medium;High;Small;1;Education;Decline;Cybersecurity Analyst;Toronto;Yes;5;Machine Learning;72671,587771029
Medium;Low;Large;2;Energy;Growth;Operations Manager;Singapore;Yes;2;Cybersecurity;102912,309483394
Medium;Low;Small;7;Retail;Stable;Operations Manager;London;No;3;Data Analysis;109899,633375847
Low;Low;Large;2;Energy;Decline;HR Manager;Paris;Yes;4;JavaScript;86749,477437402
High;Low;Medium;7;Retail;Decline;HR Manager;London;No;2;Cybersecurity;112139,808259570
High;Low;Large;2;Energy;Decline;HR Manager;Toronto;No;9;Sales;71854,799064778
Low;Low;Medium;3;Entertainment;Stable;Marketing Specialist;Berlin;Yes;8;Python;68323,783000263
Medium;Medium;Small;4;Finance;Growth;AI Researcher;Dubai;No;4;JavaScript;126266,824104910
Low;Low;Small;4;Finance;Decline;Product Manager;Toronto;No;8;Python;101822,172270770
Low;High;Small;5;Healthcare;Growth;AI Researcher;Tokyo;Yes;3;Data Analysis;117936,964036266
Low;Medium;Large;9;Telecommunications;Growth;Data Scientist;Toronto;Yes;5;Machine Learning;72921,205832246
Medium;Low;Medium;4;Finance;Stable;AI Researcher;London;No;2;Cybersecurity;71529,492164625
Low;High;Small;4;Finance;Decline;Marketing Specialist;San Francisco;Yes;2;Cybersecurity;82827,813610849
Medium;Medium;Small;6;Manufacturing;Growth;Data Scientist;Sydney;No;7;Project Management;73518,823169220
Low;High;Medium;6;Manufacturing;Decline;AI Researcher;San Francisco;No;4;JavaScript;104107,304204569
High;Low;Small;5;Healthcare;Decline;Marketing Specialist;London;Yes;1;Communication;74977,478861471
Low;Low;Medium;9;Telecommunications;Stable;Product Manager;Sydney;Yes;9;Sales;66566,602838654
Low;Low;Medium;1;Education;Decline;AI Researcher;Tokyo;Yes;1;Communication;92840,308245105
High;Low;Medium;6;Manufacturing;Decline;Marketing Specialist;Dubai;Yes;7;Project Management;64200,276483496
Medium;Medium;Medium;1;Education;Growth;HR Manager;Singapore;No;3;Data Analysis;54010,721370492
Medium;Medium;Medium;8;Technology;Stable;Operations Manager;London;No;9;Sales;92665,144677226
Low;High;Large;6;Manufacturing;Decline;HR Manager;Paris;Yes;5;Machine Learning;55015,599139796
High;Low;Small;3;Entertainment;Growth;Operations Manager;London;Yes;1;Communication;105505,587925908
Medium;High;Large;9;Telecommunications;Stable;Software Engineer;London;No;5;Machine Learning;62093,325474944
Low;Medium;Small;5;Healthcare;Stable;Software Engineer;Sydney;No;1;Communication;45186,524271605
High;Low;Large;8;Technology;Growth;Software Engineer;New York;No;5;Machine Learning;84124,066997184
Medium;Low;Medium;9;Telecommunications;Growth;Product Manager;Toronto;No;1;Communication;92891,890065930
Medium;Medium;Small;3;Entertainment;Growth;HR Manager;New York;Yes;5;Machine Learning;99829,501273639
High;Medium;Small;9;Telecommunications;Growth;Operations Manager;Tokyo;No;7;Project Management;93440,313980317
High;Medium;Large;3;Entertainment;Growth;Marketing Specialist;Paris;No;6;Marketing;68813,747577645
High;Medium;Large;3;Entertainment;Decline;Data Scientist;Dubai;Yes;9;Sales;104261,223618532
High;Medium;Small;1;Education;Decline;Marketing Specialist;Berlin;No;4;JavaScript;109202,770129594
Low;Low;Large;2;Energy;Stable;Data Scientist;Tokyo;No;3;Data Analysis;65884,757430889
High;Medium;Large;8;Technology;Decline;Sales Manager;Berlin;Yes;10;UX/UI Design;86379,877226808
Medium;Low;Large;9;Telecommunications;Decline;Marketing Specialist;Berlin;Yes;8;Python;84511,199457820
Medium;Low;Medium;7;Retail;Decline;AI Researcher;Dubai;Yes;4;JavaScript;94407,631655761
Low;Medium;Medium;8;Technology;Growth;AI Researcher;San Francisco;No;8;Python;85901,524164518
